1	N	48
1	J	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	J	49
1	J	49
2	R	49
3	N	63
3	J	64
3	J	64
2	J	64
1	J	64
2	J	64
3	R	64
3	W	68
3	J	68
2	J	68
1	J	68
2	R	68
2	E	74
3	J	74
2	J	74
1	J	74
1	R	74
3	J	74
1	J	74
4	N	74
4	J	74
1	W	74
3	J	74
4	J	74
1	J	74
4	R	74
3	J	89
4	J	89
1	J	89
3	J	104
4	J	104
1	J	104
5	N	106
5	J	107
4	W	107
5	J	107
3	J	107
4	J	107
1	J	107
5	R	107
4	J	109
5	E	110
5	J	110
3	J	110
4	J	110
1	J	110
4	R	110
0	J	110
3	J	110
4	J	110
1	J	110
4	W	115
3	J	115
4	J	115
1	J	115
0	R	115
3	J	115
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	116
4	J	116
1	J	116
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	117
3	J	117
4	J	117
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	118
4	J	118
1	J	118
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	119
3	J	119
4	J	119
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	120
1	J	120
3	J	120
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	121
4	J	121
1	J	121
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	122
1	J	122
3	J	122
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
1	J	123
3	J	123
4	J	123
